OBJECTID,LSOA11CD,LSOA11NM,X_COORD,Y_COORD,STUD_TOT,STUD_EconActive_InEmployment,STUD_EconActive_Unemployed,STUD_EconInactive
8123,E01011563,Leeds 012C,429738.324,440685.646,72,25,4,43
8125,E01011560,Leeds 018D,429053.649,439052.376,97,27,11,59
8127,E01011561,Leeds 006A,432740.931,440788.809,70,28,5,37
8132,E01011568,Leeds 015E,431804.536,439821.763,105,41,8,56
8182,E01011456,Leeds 021B,423894.193,439236.26,155,58,7,90
8183,E01011457,Leeds 027C,421277.589,439136.483,118,23,4,91
8184,E01011454,Leeds 027B,423549.287,437263.141,62,30,2,30
8185,E01011455,Leeds 021A,423130.069,438987.352,250,87,38,125
8186,E01011453,Leeds 028A,424385.658,437275.366,63,24,3,36
8187,E01011450,Leeds 038D,429037.704,436394.356,90,33,3,54
8188,E01011451,Leeds 110D,428352.367,436262.415,1383,253,204,926
8189,E01011458,Leeds 027D,422152.927,438851.028,55,23,2,30
8190,E01011459,Leeds 021C,424066.625,438640.377,68,22,6,40
8211,E01032876,Leeds 109G,427390.868,438349.344,1589,232,173,1184
8249,E01011706,Leeds 006C,438471.628,446123.095,52,24,2,26
8251,E01011707,Leeds 005A,441951.892,445495.27,53,18,1,34
8253,E01011704,Leeds 002C,440469.037,448258.96,36,18,3,15
8255,E01011705,Leeds 002D,441019.323,448365.911,43,17,4,22
8258,E01011703,Leeds 001E,439162.008,448511.57,63,26,4,33
8259,E01011700,Leeds 002B,440795.201,448997.63,97,34,10,53
8262,E01011708,Leeds 006D,436128.923,444428.45,83,26,8,49
8264,E01011709,Leeds 005B,442451.623,445497.522,66,20,2,44
8276,E01011666,Leeds 061D,435811.43,435006.792,86,26,14,46
8277,E01011667,Leeds 050D,435109.507,435175.113,86,11,6,69
8278,E01011664,Leeds 050B,435224.719,435843.463,61,18,6,37
8281,E01011662,Leeds 040E,434464.77,435616.173,67,13,7,47
8284,E01011663,Leeds 050A,435122.199,435372.886,64,14,7,43
8287,E01011660,Leeds 040D,434833.229,436243.521,54,21,5,28
8290,E01011661,Leeds 035D,435671.69,436283.223,67,15,6,46
8298,E01011668,Leeds 110E,429324.59,435646.904,963,224,83,656
8299,E01011669,Leeds 110F,429558.11,435761.172,759,218,124,417
8408,E01033034,Leeds 075G,431013.032,433043.594,125,46,13,66
8409,E01033035,Leeds 064F,431337.283,434244.552,98,29,5,64
8410,E01033032,Leeds 082F,429747.804,432664.915,108,45,4,59
8411,E01033033,Leeds 075F,430943.074,433265.977,570,145,149,276
8412,E01033031,Leeds 064E,431042.709,434107.188,129,55,18,56
8433,E01011336,Leeds 058C,424652.074,434710.711,51,19,7,25
8434,E01011337,Leeds 058D,423738.22,434787.678,89,15,17,57
8435,E01011334,Leeds 058B,424104.315,434675.152,51,23,4,24
8436,E01011335,Leeds 052C,422977.478,434721.026,71,17,13,41
8437,E01011332,Leeds 046D,425084.321,435388.663,70,16,12,42
8438,E01011333,Leeds 051D,423305.368,435112.874,48,21,5,22
8439,E01011330,Leeds 051C,423598.724,435660.07,54,22,6,26
8440,E01011331,Leeds 058A,424323.532,435048.454,47,17,5,25
8441,E01011338,Leeds 064A,431607.825,433735.847,163,47,26,90
8442,E01011339,Leeds 060A,433586.675,435222.136,95,30,17,48
8461,E01011546,Leeds 106C,426269.256,426710.699,66,25,7,34
8462,E01011547,Leeds 104D,426828.562,426883.388,68,26,5,37
8463,E01011545,Leeds 104C,426062.368,427091.122,53,21,11,21
8464,E01011540,Leeds 102B,427893.029,427909.291,49,12,3,34
8465,E01011541,Leeds 104B,426396.265,427455.017,45,24,2,19
8466,E01011548,Leeds 106D,427573.86,425473.119,63,23,6,34
8467,E01011549,Leeds 108C,428245.272,425844.325,102,49,4,49
8498,E01011434,Leeds 053D,432020.95,435046.022,99,27,15,57
8499,E01011435,Leeds 044A,427603.183,436109.181,1286,512,118,656
8500,E01011432,Leeds 053B,432322.393,435174.224,113,29,17,67
8501,E01011433,Leeds 053C,432355.164,434933.705,106,27,17,62
8502,E01011430,Leeds 053A,432228.152,435480.016,132,23,31,78
8503,E01011431,Leeds 047D,432949.798,435261.95,136,35,26,75
8566,E01011316,Leeds 086B,429701.158,430733.755,78,30,12,36
8567,E01011397,Leeds 077A,441488.897,433308.504,85,32,7,46
8568,E01011317,Leeds 090B,427840.884,430261.262,85,26,9,50
8569,E01011396,Leeds 074A,440288.912,433173.931,164,50,7,107
8570,E01011314,Leeds 091B,429148.483,430925.215,63,24,6,33
8571,E01011395,Leeds 103E,439465.853,426003.411,42,17,8,17
8572,E01011315,Leeds 090A,428796.785,430626.451,71,25,7,39
8573,E01011394,Leeds 103D,440130.483,427168.39,54,21,5,28
8574,E01011312,Leeds 086A,429899.111,431003.886,99,18,26,55
8575,E01011393,Leeds 103C,439197.961,427049.017,68,26,4,38
8576,E01011313,Leeds 091A,429042.634,430768.889,82,30,9,43
8577,E01011392,Leeds 087C,440149.481,429708.103,44,13,5,26
